respondent_id,business_unit,department,tenure_band,location,role_level,cred_01,cred_02,cred_03,cred_04,cred_05,cred_06,cred_07,cred_08,resp_01,resp_02,resp_03,resp_04,resp_05,resp_06,resp_07,resp_08,fair_01,fair_02,fair_03,fair_04,fair_05,fair_06,fair_07,fair_08,prid_01,prid_02,prid_03,prid_04,prid_05,prid_06,prid_07,prid_08,camr_01,camr_02,camr_03,camr_04,camr_05,camr_06,camr_07,camr_08,lead_01,lead_02,lead_03,lead_04,lead_05,lead_06,lead_07,lead_08,devl_01,devl_02,devl_03,devl_04,devl_05,devl_06,devl_07,devl_08,well_01,well_02,well_03,well_04,well_05,well_06,well_07,well_08,sat_01,sat_02,sat_03,sat_04
R00946,BU15,Service,5-10 years,Remote,Manager,4.0,4.0,3.0,4.0,4.0,3.0,4.0,2.0,4.0,3.0,4.0,,4.0,3.0,3.0,5.0,3.0,2.0,4.0,3.0,4.0,4.0,2.0,3.0,3.0,,,1.0,2.0,3.0,2.0,4.0,4.0,3.0,4.0,4.0,2.0,3.0,4.0,4.0,2.0,4.0,5.0,3.0,2.0,4.0,3.0,3.0,4.0,4.0,4.0,5.0,3.0,,4.0,5.0,3.0,2.0,3.0,4.0,3.0,3.0,5.0,4.0,4.0,3.0,5.0,3.0
R00947,BU09,Engineering,<1 year,Pune,Individual contributor,3.0,4.0,4.0,5.0,3.0,3.0,4.0,2.0,4.0,4.0,2.0,4.0,3.0,4.0,5.0,3.0,4.0,5.0,,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,5.0,5.0,4.0,5.0,4.0,5.0,3.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,2.0,4.0,5.0,5.0,4.0,4.0,4.0,3.0,1.0,3.0,,3.0,2.0,,4.0
R00948,BU21,Supply Chain,10+ years,Hamburg,Individual contributor,2.0,1.0,2.0,5.0,1.0,2.0,2.0,1.0,1.0,4.0,2.0,2.0,2.0,5.0,1.0,2.0,3.0,2.0,5.0,2.0,1.0,2.0,3.0,4.0,,2.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,5.0,4.0,3.0,1.0,1.0,2.0,3.0,5.0,1.0,2.0,3.0,3.0,3.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,5.0,,1.0,1.0,2.0,2.0,1.0,1.0
R00949,BU20,Engineering,3-5 years,Hamburg,Individual contributor,3.0,4.0,3.0,2.0,4.0,3.0,2.0,4.0,3.0,2.0,5.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,1.0,3.0,5.0,4.0,4.0,,5.0,3.0,3.0,2.0,4.0,4.0,4.0,3.0,3.0,5.0,4.0,4.0,4.0,5.0,5.0,3.0,4.0,2.0,5.0,3.0,3.0,4.0,2.0,2.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,3.0,4.0,3.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0
R00950,BU04,Sales,10+ years,Rostock,Team lead,2.0,1.0,2.0,4.0,1.0,2.0,1.0,3.0,2.0,,3.0,2.0,3.0,5.0,2.0,3.0,2.0,2.0,5.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,1.0,1.0,3.0,3.0,1.0,2.0,3.0,2.0,3.0,2.0,3.0,1.0,4.0,2.0,3.0,,2.0,1.0,3.0,5.0,1.0,3.0,3.0,3.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,4.0,5.0,1.0,3.0,2.0,2.0,2.0,,2.0
R00951,BU23,Engineering,<1 year,Aarhus,Team lead,2.0,4.0,4.0,3.0,2.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,5.0,5.0,4.0,5.0,3.0,2.0,5.0,4.0,3.0,5.0,5.0,5.0,4.0,5.0,3.0,4.0,,5.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,5.0,2.0,5.0,5.0,5.0,,5.0,4.0,4.0,5.0,5.0,,4.0,4.0,3.0,4.0,5.0,3.0,3.0,3.0,3.0,3.0
R00952,BU20,Service,3-5 years,Hamburg,Individual contributor,3.0,3.0,4.0,3.0,4.0,3.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,2.0,4.0,3.0,4.0,5.0,3.0,3.0,5.0,3.0,4.0,2.0,3.0,5.0,4.0,4.0,4.0,5.0,3.0,5.0,4.0,4.0,3.0,4.0,5.0,4.0,2.0,4.0,4.0,4.0,3.0,3.0,4.0,2.0,3.0,2.0,3.0,,,3.0,3.0,2.0,3.0,5.0,3.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,3.0,4.0,4.0
R00953,BU21,HR,5-10 years,Aarhus,Individual contributor,2.0,4.0,2.0,3.0,4.0,3.0,2.0,2.0,3.0,4.0,3.0,2.0,3.0,4.0,4.0,3.0,4.0,1.0,5.0,3.0,4.0,3.0,2.0,3.0,4.0,3.0,2.0,3.0,4.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,5.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,4.0,3.0,3.0,2.0,3.0,1.0,2.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,,4.0,3.0
R00954,BU04,Service,1-3 years,Chennai,Individual contributor,4.0,4.0,4.0,,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
R00955,BU23,Supply Chain,10+ years,Aarhus,Individual contributor,4.0,3.0,3.0,5.0,4.0,4.0,4.0,3.0,5.0,4.0,5.0,5.0,5.0,4.0,3.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,,3.0,5.0,5.0,5.0,5.0,4.0,3.0,4.0,,,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,3.0,4.0,5.0,5.0,5.0,4.0,5.0,
R00956,BU14,Supply Chain,5-10 years,Pune,Individual contributor,3.0,2.0,3.0,5.0,2.0,2.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,2.0,3.0,2.0,3.0,4.0,3.0,4.0,2.0,3.0,4.0,3.0,4.0,5.0,4.0,2.0,3.0,4.0,4.0,3.0,2.0,2.0,5.0,4.0,4.0,3.0,4.0,3.0,2.0,2.0,5.0,4.0,4.0,5.0,4.0,1.0,3.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,,1.0
R00957,BU09,Operations,5-10 years,Rostock,Team lead,3.0,3.0,3.0,5.0,4.0,3.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,3.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,3.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,2.0,3.0,,3.0,3.0,4.0,3.0,3.0,4.0,,5.0,,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,3.0,5.0
R00958,BU08,HR,3-5 years,Chennai,Senior manager,4.0,4.0,4.0,,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
R00959,BU08,Service,<1 year,Aarhus,Individual contributor,4.0,3.0,4.0,3.0,2.0,4.0,3.0,2.0,5.0,3.0,4.0,4.0,3.0,2.0,3.0,5.0,4.0,4.0,2.0,3.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,5.0,5.0,4.0,5.0,5.0,3.0,4.0,4.0,2.0,3.0,4.0,5.0,4.0,3.0,4.0,3.0,,3.0,,4.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,2.0,3.0,5.0,5.0,4.0,,4.0,5.0,5.0,5.0,3.0,3.0,1.0,3.0
R00960,BU09,Engineering,5-10 years,Chennai,Individual contributor,3.0,3.0,3.0,3.0,2.0,4.0,3.0,4.0,4.0,5.0,3.0,3.0,4.0,4.0,3.0,4.0,5.0,4.0,3.0,4.0,5.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,4.0,2.0,3.0,3.0,3.0,4.0,,4.0,3.0,5.0,,2.0,2.0,2.0,4.0,4.0,5.0,3.0,4.0,4.0,5.0,2.0,4.0,5.0,5.0,4.0,4.0,3.0,3.0,2.0,4.0,2.0,4.0,2.0,2.0,1.0,2.0,3.0
R00961,BU12,Operations,3-5 years,Rostock,Individual contributor,2.0,4.0,3.0,3.0,2.0,3.0,2.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,2.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,2.0,4.0,2.0,3.0,,4.0,5.0,5.0,3.0,3.0,3.0,2.0,2.0,4.0,3.0,5.0,2.0,3.0,3.0,4.0,2.0,4.0,4.0,5.0,3.0,2.0,4.0,3.0,4.0,3.0,3.0,2.0,4.0,2.0,2.0,3.0,4.0,3.0,4.0,2.0,3.0,3.0,4.0,3.0
R00962,BU16,Operations,10+ years,Hamburg,Team lead,4.0,4.0,4.0,3.0,5.0,3.0,4.0,3.0,4.0,1.0,3.0,5.0,4.0,3.0,2.0,4.0,4.0,5.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,4.0,3.0,,5.0,3.0,4.0,4.0,2.0,4.0,5.0,3.0,5.0,4.0,4.0,5.0,,5.0,4.0,3.0,4.0,2.0,3.0,3.0,3.0,2.0,5.0,4.0,4.0,4.0,3.0,5.0,5.0,4.0,4.0,3.0,3.0,2.0
R00963,BU18,Operations,3-5 years,Hamburg,Individual contributor,3.0,5.0,4.0,4.0,5.0,3.0,5.0,4.0,2.0,5.0,2.0,2.0,1.0,4.0,3.0,4.0,2.0,2.0,5.0,3.0,3.0,,2.0,3.0,4.0,2.0,5.0,4.0,5.0,4.0,5.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,,3.0,2.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,2.0,2.0,2.0
R00964,BU10,Service,5-10 years,Chennai,Manager,5.0,5.0,5.0,1.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,2.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,2.0,4.0,2.0,3.0,3.0,3.0,4.0,4.0,,4.0,3.0,4.0,5.0,4.0,2.0,4.0,3.0,3.0,3.0,5.0,5.0,4.0,5.0,5.0,5.0,1.0,5.0,4.0,3.0,4.0,1.0,4.0,5.0,4.0,,4.0,4.0,3.0,5.0,2.0,4.0,2.0,5.0,5.0,4.0,4.0,5.0
R00965,BU08,Operations,1-3 years,Aarhus,Individual contributor,5.0,4.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,,5.0,5.0,,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0
R00966,BU10,Service,5-10 years,Chennai,Team lead,3.0,4.0,3.0,5.0,3.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,4.0,5.0,3.0,2.0,3.0,4.0,4.0,2.0,4.0,4.0,2.0,4.0,3.0,3.0,4.0,2.0,4.0,5.0,4.0,,4.0,4.0,4.0,3.0,3.0,2.0,4.0,2.0,5.0,3.0,4.0,4.0,3.0,3.0,2.0,3.0,4.0,5.0,3.0,2.0,1.0,1.0,1.0,5.0,3.0,1.0,2.0,2.0,3.0,2.0,5.0
R00967,BU20,Engineering,5-10 years,Rostock,Individual contributor,5.0,5.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,3.0,3.0,4.0,3.0,4.0,5.0,5.0,5.0,4.0,5.0,3.0,4.0,4.0,4.0,5.0,3.0,4.0,5.0,5.0,2.0,3.0,2.0,3.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,,,3.0,3.0,4.0,,5.0,4.0,4.0,5.0,3.0,5.0
R00968,BU24,Operations,3-5 years,Hamburg,Individual contributor,5.0,4.0,5.0,3.0,5.0,5.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,3.0,3.0,4.0,3.0,2.0,4.0,4.0,3.0,2.0,4.0,5.0,5.0,5.0,,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,3.0,5.0,5.0,4.0,4.0,,5.0,5.0,5.0
R00969,BU04,Engineering,5-10 years,Chennai,Individual contributor,2.0,,3.0,4.0,3.0,3.0,4.0,2.0,1.0,3.0,1.0,2.0,1.0,5.0,3.0,3.0,,3.0,3.0,2.0,4.0,4.0,3.0,2.0,1.0,2.0,2.0,4.0,4.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,,5.0,5.0,2.0,4.0,2.0,4.0,1.0,3.0,4.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,5.0,2.0,2.0,,1.0,1.0,2.0,1.0
R00970,BU07,Engineering,1-3 years,Remote,Individual contributor,3.0,4.0,4.0,3.0,4.0,5.0,3.0,2.0,2.0,3.0,4.0,2.0,4.0,4.0,2.0,2.0,4.0,4.0,2.0,4.0,5.0,4.0,4.0,4.0,5.0,2.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,2.0,,3.0,3.0,4.0,3.0,2.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,,3.0,4.0,4.0,1.0,4.0,4.0,5.0,4.0,3.0,2.0,4.0
R00971,BU03,Finance,1-3 years,Hamburg,Individual contributor,2.0,3.0,4.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,4.0,2.0,3.0,3.0,2.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,5.0,4.0,3.0,5.0,3.0,4.0,4.0,4.0,2.0,4.0,3.0,,5.0,3.0,5.0,3.0,4.0,3.0,4.0,4.0,5.0,3.0,4.0,3.0,4.0,2.0,,2.0,3.0,3.0,5.0,4.0,2.0,,2.0,2.0,3.0,2.0,2.0,2.0,3.0
R00972,BU23,Operations,3-5 years,Hamburg,Individual contributor,4.0,5.0,4.0,5.0,3.0,5.0,5.0,4.0,4.0,5.0,3.0,5.0,,5.0,5.0,4.0,4.0,3.0,5.0,3.0,4.0,4.0,5.0,4.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,2.0,4.0
R00973,BU09,Service,1-3 years,Aarhus,Individual contributor,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,,3.0,3.0,4.0,4.0
R00974,BU24,Engineering,<1 year,Rostock,Senior manager,3.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,5.0,5.0,,3.0,4.0,5.0,4.0,5.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,3.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0
R00975,BU22,Supply Chain,1-3 years,Hamburg,Individual contributor,5.0,3.0,5.0,2.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,,5.0,5.0,2.0,5.0,4.0,3.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,3.0,4.0,4.0,5.0,3.0,5.0,3.0,4.0,5.0,3.0,5.0,5.0,4.0,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0
R00976,BU24,Engineering,1-3 years,Pune,Manager,4.0,4.0,2.0,2.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,5.0,4.0,3.0,5.0,5.0,4.0,3.0,5.0,3.0,4.0,5.0,4.0,3.0,,4.0,4.0,5.0,4.0,5.0,,4.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,3.0,4.0,3.0,3.0,,4.0,3.0,3.0,5.0,4.0,5.0,5.0,2.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0
R00977,BU07,Supply Chain,<1 year,Remote,Team lead,4.0,2.0,5.0,2.0,3.0,4.0,4.0,4.0,5.0,2.0,5.0,3.0,3.0,2.0,4.0,3.0,3.0,4.0,2.0,3.0,5.0,4.0,5.0,5.0,4.0,3.0,3.0,5.0,4.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,3.0,3.0,5.0,3.0,3.0,5.0,3.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,3.0,2.0,5.0,5.0,4.0,4.0,4.0,1.0,5.0,3.0,5.0,4.0,4.0,5.0,4.0
R00978,BU22,Finance,10+ years,Pune,Manager,5.0,5.0,4.0,4.0,3.0,5.0,5.0,5.0,4.0,4.0,5.0,3.0,4.0,2.0,4.0,4.0,5.0,5.0,2.0,4.0,3.0,5.0,5.0,5.0,5.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,3.0,5.0,5.0,5.0,4.0,5.0,5.0,3.0,,4.0,4.0,4.0,2.0,3.0,2.0,3.0,4.0,5.0,3.0,3.0,4.0,3.0,5.0,,3.0,3.0,2.0,,3.0
R00979,BU04,Sales,3-5 years,Pune,Manager,5.0,5.0,4.0,1.0,5.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,5.0,4.0,3.0,5.0,5.0,4.0,5.0,3.0,5.0,2.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,3.0,1.0,5.0,5.0,5.0,4.0,5.0,5.0,3.0,,4.0,5.0,5.0,4.0,3.0,5.0,5.0,4.0,5.0,5.0,,5.0,1.0,4.0,5.0,5.0,4.0,5.0,3.0,4.0
R00980,BU23,Engineering,1-3 years,Remote,Manager,2.0,2.0,3.0,4.0,4.0,2.0,2.0,4.0,3.0,3.0,4.0,2.0,3.0,5.0,4.0,3.0,4.0,3.0,5.0,3.0,3.0,1.0,3.0,4.0,1.0,2.0,2.0,3.0,2.0,1.0,2.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,5.0,3.0,4.0,,3.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,1.0,4.0,3.0,1.0,2.0,2.0,3.0,5.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0
R00981,BU07,Supply Chain,5-10 years,Hamburg,Team lead,5.0,5.0,5.0,4.0,5.0,,5.0,5.0,3.0,5.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,3.0,3.0,4.0,4.0,2.0,4.0,4.0,2.0,3.0,,3.0,4.0,4.0,4.0,3.0,,2.0,,4.0,3.0,3.0,4.0,3.0,4.0,5.0,3.0,3.0,4.0,5.0,4.0,4.0,5.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0
R00982,BU09,Service,5-10 years,Chennai,Individual contributor,4.0,5.0,5.0,1.0,4.0,5.0,4.0,5.0,5.0,4.0,3.0,5.0,2.0,2.0,4.0,5.0,3.0,,3.0,3.0,4.0,3.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,5.0,2.0,4.0,,3.0,3.0,2.0,4.0,1.0,4.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,,3.0,3.0,2.0,4.0,3.0
R00983,BU14,Sales,1-3 years,Aarhus,Manager,3.0,2.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,3.0,2.0,3.0,2.0,4.0,2.0,3.0,3.0,1.0,4.0,3.0,2.0,3.0,3.0,2.0,4.0,1.0,5.0,2.0,3.0,5.0,3.0,4.0,3.0,2.0,4.0,1.0,,1.0,2.0,4.0,2.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,2.0,1.0,2.0,3.0
R00984,BU15,Operations,3-5 years,Hamburg,Individual contributor,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,2.0,5.0,4.0,3.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,3.0,4.0,3.0,5.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,3.0,3.0,4.0,2.0,4.0,2.0,3.0,3.0,4.0,3.0,1.0,3.0,5.0,2.0,2.0,2.0,5.0,5.0,4.0,4.0
R00985,BU10,Sales,5-10 years,Rostock,Individual contributor,3.0,3.0,4.0,4.0,4.0,5.0,3.0,3.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,2.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,2.0,5.0,,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,3.0,5.0,4.0,4.0,4.0,3.0,4.0,5.0,1.0,,5.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,3.0,3.0,3.0,,3.0,3.0,4.0,5.0,4.0,5.0,
R00986,BU23,Sales,3-5 years,Remote,Manager,3.0,4.0,4.0,3.0,5.0,5.0,5.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,2.0,4.0,,5.0,3.0,4.0,4.0,3.0,3.0,1.0,4.0,3.0,2.0,4.0,3.0,1.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,3.0,5.0,3.0,4.0,3.0,3.0,3.0,1.0,5.0,4.0,2.0,4.0,2.0,5.0,3.0,4.0,2.0,2.0,4.0,3.0,3.0,4.0,5.0,2.0,5.0,2.0,5.0,5.0,5.0,4.0
R00987,BU20,Operations,<1 year,Aarhus,Individual contributor,2.0,2.0,2.0,5.0,2.0,2.0,2.0,3.0,3.0,5.0,4.0,2.0,3.0,3.0,2.0,2.0,3.0,5.0,3.0,2.0,3.0,2.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,1.0,2.0,3.0,3.0,4.0,2.0,3.0,2.0,2.0,5.0,4.0,1.0,3.0,3.0,3.0,2.0,5.0,3.0,3.0,2.0,3.0,4.0,4.0,4.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,1.0,3.0,1.0,3.0,1.0,1.0,3.0
R00988,BU03,Engineering,5-10 years,Rostock,Individual contributor,3.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,5.0,4.0,3.0,4.0,5.0,4.0,5.0,5.0,2.0,5.0,4.0,5.0,4.0,5.0,4.0,1.0,4.0,4.0,3.0,3.0,3.0,3.0,5.0,3.0,5.0,5.0,5.0,4.0,4.0,2.0,4.0,5.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,2.0,4.0,5.0,5.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0
R00989,BU06,Operations,5-10 years,Chennai,Individual contributor,3.0,4.0,3.0,5.0,3.0,3.0,2.0,4.0,2.0,5.0,3.0,4.0,3.0,5.0,4.0,3.0,2.0,2.0,5.0,2.0,3.0,,3.0,1.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,,4.0,3.0,4.0,2.0,5.0,4.0,4.0,3.0,4.0,2.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,5.0,3.0,3.0,3.0,5.0,4.0,5.0,2.0
R00990,BU06,Finance,10+ years,Hamburg,Individual contributor,2.0,2.0,4.0,3.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,4.0,5.0,2.0,2.0,3.0,1.0,3.0,2.0,3.0,3.0,2.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,2.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,,3.0,5.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,1.0,3.0,3.0,2.0,2.0,2.0,4.0,2.0,2.0,1.0,5.0,5.0,5.0,3.0
R00991,BU10,Engineering,10+ years,Hamburg,Individual contributor,4.0,5.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,3.0,4.0,3.0,4.0,4.0,4.0,5.0,3.0,,5.0,4.0,5.0,4.0,4.0,5.0,,5.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,3.0,3.0,5.0,4.0,
